# 11/09/2024 09:07:00 AM: Volumes - EPEX Spot Market Auction - switzerland
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Total Volume
12/09/2024,3230.9,3110.4,2909.7,,3031,2925.9,3740.7,4923.8,5229.3,5024.2,3958.1,3116.9,2316.4,2606.9,2751.5,2745.5,2601.8,3414.2,4655.1,5223.7,5587.2,4001.2,3987.5,3740.2,3468.1,88300.2
11/09/2024,2640.5,2463,2386.4,,2181.5,2263.2,2759.4,3319.2,4214.9,3904.6,3347.8,2692.9,2413.7,2372.5,2479.4,2346.2,2389.2,2943.8,3704.6,4673.9,5079.6,5160.5,4717.1,4937.4,3600.8,78992.1
10/09/2024,2497.5,2401,2688.9,,2908.6,2571.9,2679.8,3858.4,4874.1,4286.4,2626.8,2545.9,2510.4,2345.5,2303.1,2465,2642.4,3009.4,2884.7,2368.6,2953.1,2619,2289.4,2556.5,2295.9,67182.3
09/09/2024,3006.2,3050.4,3354.6,,3348.5,3176.8,3480.8,4385.6,4807,4558.2,3953.6,3526.4,3206.6,3007,2778.5,3058.2,3204.5,3204.5,3732.7,2905.2,5236,5376.1,3642.4,2939.1,2901.4,85840.3
08/09/2024,3195.7,2771,3188.5,,3271.9,3329.1,3066.5,2727.5,2708.3,2336.3,2401.1,2985.5,3107.4,2838.3,2918,2804,2870.3,2648.2,3165.2,4484.4,5455.3,5407.1,4626.6,4201.1,3407.7,79915
07/09/2024,3768.6,3188,3072.7,,2833.5,3189.3,3189.1,4389.4,4500.9,3978.2,3414.3,4062.1,4255.2,4473.2,4129.6,3944.8,4076.8,3883.5,3572.1,4923.7,5194.1,5412.3,4451.4,4362.6,3385.4,95650.8
06/09/2024,2986.7,2965.1,3052.7,,3114.3,3082.4,2963.2,3485.9,4441.8,4335,3737.8,2827.2,3015.6,3117,3416.9,3374.9,3610.8,3282.5,3977.7,4042.8,4146.9,4646.5,4862.3,4102.1,3860.8,86448.9
05/09/2024,3624.3,3312.8,2954.2,,2666.9,2783.3,3094,4727.1,5068,3940.6,2435.3,2273.8,2323.6,2531.6,2690.5,2784,2869.2,2784.2,2441.6,2123.4,2721.6,2870.7,2140,3532.1,3201.4,71894.2
04/09/2024,4308.8,3745.2,3387.8,,2903.7,3937.3,4743.4,5806.6,5472.3,6033.1,4498.3,3313.4,3352,3400.6,3457.1,3461.1,3501.8,3515.3,4703.2,5283.3,5444.8,5671.2,5449.1,4753.1,3255.6,103398.1
03/09/2024,3648.5,3449.9,3414.9,,3781.8,4171.6,4533.5,5266,4897.7,4348.8,4126.5,4366.2,4048.1,4260.4,3938,3775.7,3921.6,3679.9,5115.8,5801.3,5529.5,5939.2,5953.4,4811.2,4628.6,107408.1
02/09/2024,3531.9,3676.3,3462.3,,3405.2,3973.9,3873.3,5697.3,5268.7,4904.6,4287.2,3532.7,3394.3,3890,3159.9,3377.4,3048,3131.5,4039,4676.2,4673.8,5841.2,5036.2,4499.5,4094.5,98474.9
01/09/2024,4277.5,4104,4290.4,,4011.8,3679.7,3485.2,3264.1,3546.6,3861.7,3053.1,3467.4,3264.4,3201.6,3396.1,3423.6,3490.9,3250.2,4641.8,4854.4,5624.5,5235.8,5178.2,4327.1,3584.8,94514.9
31/08/2024,5298.5,4975.9,4637,,5090.5,5060,5081,4794.2,4958.7,4184.8,3195.4,3612.3,3900.4,3935.5,4077.1,4038.1,3932.5,3748.9,3691.6,4816.1,5022.6,5007.1,4512.1,3817.9,2954,104342.2
30/08/2024,5300.2,4986.1,4450.5,,4371.6,4515.8,4941.3,5416.6,6126.8,5243.6,3974,3519.2,3503.6,3316.3,3148,3282.9,3291.2,3768.2,4203.2,5563.4,4811,5141.5,4687.7,3801,2960.9,104324.6
29/08/2024,3682,3405.9,3155.5,,3358.6,3911.3,4241.5,4994.7,4940.1,4993.3,3894.5,3653,3533.3,3782.6,3895.2,3615.8,3476,3422,4152.5,4675.7,4737.4,5053.1,5580,5223.3,4739.7,100117
28/08/2024,4208.3,3878.7,4059,,4208.4,4148.3,4640.3,5673.8,5761.8,5124,4282.2,3648.3,3725.8,3706.2,3808.9,3601.1,3916.9,3356.9,4544.5,5038.7,3885.1,3841.5,4584.7,4483.5,3812.9,101939.8
27/08/2024,4976.5,4409.3,4270.4,,4247.9,4626.5,5407.3,4931.2,4979.4,4145.2,3447.9,2672.7,2589.3,3355.7,3234.1,3332.1,3279.4,2655,3468.8,5162.4,3922.3,4324,4659.1,4410.3,3404.4,95911.2
26/08/2024,4234.6,3444.2,3170.9,,3491.2,3192.1,3862.6,5022.7,5617,4252,3697.5,2964.2,2912.8,2919.1,2972.1,2900.1,2733.6,3308.4,4268.3,5291.1,4187.8,4153.2,4086,4220.4,4320.3,91222.2
25/08/2024,3129,3207.4,2985,,3098.5,3101,3014.5,3106,2986.5,2997.6,2787.7,2470.2,2451.1,2842.9,2835.1,2887.1,2742.9,3038.9,3203.5,3930.6,5121,4219.5,4051.6,3867.9,3428.7,77504.2
24/08/2024,5526.7,5488.6,5217.5,,5303.3,5197.6,5284.5,5171.2,4708.8,3703.9,3967.7,3886.3,3624.4,3736.5,3805.6,3990.7,4033.3,3579.2,3523,3343.6,3847,4224,3855.1,3310.1,3345.7,101674.3
23/08/2024,3684.5,3641.5,3119.4,,2938.1,3246.3,3195.5,4125.8,4021.1,3237.9,3078.4,2958,3396,3235.7,3254.1,3330.8,3430.4,3371.5,3091.7,3110.3,4088.8,4029.8,4028,4195.7,4324.9,84134.2
22/08/2024,3725.1,3514.6,3082.3,,3352.5,3424,4208.9,6083.4,4726.6,4446.8,3265.2,2796.7,3469.8,3518.2,3771.3,3523.3,3565.1,3293.1,2757.7,4441.7,5857.1,6496.9,4800.2,4823,3857,96800.5
21/08/2024,4839.3,4742.3,4321.4,,3600.8,3249.5,3926.6,4373.4,4676,4176.9,3485.9,2813.4,2980.2,3188.1,3205.7,3216,3196.3,2810.7,3259.1,3614.2,3666.1,4071.4,3865.2,3770.6,4112.4,89161.5
20/08/2024,4168.8,3955.7,3906.9,,3617.8,3657.4,3676.4,3913.8,3768.6,3336.4,3339.6,3038.4,3815.1,3783,3914.4,3492.6,3562.2,3811.4,4194.6,4946,4185.5,4414.7,4584.7,4421.5,4163.1,93668.6
19/08/2024,4433.7,3911.9,3850.4,,4745.7,4742.1,5091.8,4412.7,4418.5,4502.6,4144.4,4119.5,4130.5,3558.1,3474.7,3604.5,3754.7,4480.5,4242.8,4542,4079.3,4028.4,4035.5,4082.7,3732.6,100119.6
18/08/2024,3792.1,3750.1,4424.3,,4025.2,3802.8,3959.7,3973.4,4803,5031,4913.1,4648.4,3601.7,3014.5,2512.3,2437.4,2439.4,3276.8,4583.6,4972.8,4737.9,4894.8,4547,3454.2,3374.7,94970.2
17/08/2024,4494.5,4573.1,5154.6,,4867.7,4062.1,4320.3,5124.6,4582.6,4472,3924.7,3650.5,2703.8,2664.4,2703.5,2521.4,2927.1,3307.8,3774.2,4373,4073.2,4142.7,4214.5,3455.4,3555.3,93643
16/08/2024,2874.2,3791.4,4079.1,,4224.8,4242.9,4247.2,3049.6,3125.8,3512.7,3327.4,2601.2,2880.6,3055.6,3283.3,3010,2960.3,3022.5,3450.7,3880.9,3233.1,3293.4,3287.1,3574.4,3674.9,81683.1
15/08/2024,4534.6,3710.7,3368.1,,4395.2,4325.2,4318.2,4506.8,4711.3,4408.1,4391.1,3828.9,3444.4,3361.9,3182.2,3140.4,3328.5,3558.4,4463.9,4521.4,5268.3,4352.6,4229.4,4017,3892.2,97258.8
14/08/2024,4287.8,4266.9,4155.7,,3487.1,3453.3,3301.8,3493.1,3621.2,3385.5,3435.2,3776.1,3766.7,3778.5,3739.5,4049.7,3991.6,4626.3,4928.4,4785.6,3159.7,3359.8,3252.6,3489.9,3441.8,91033.8
13/08/2024,3641.1,3414.3,3216.6,,4014.1,5367,4131.5,4308.8,4149.7,3597.6,4114.9,4346.4,3052.2,3135.4,3679.2,3427.5,4034.5,4205.5,3827.3,3852.7,3250.7,3576.3,3610.7,3675.9,3349.7,90979.6
12/08/2024,3925.6,3921.3,3802.3,,3891,3882.2,4066.9,4275.5,3937.6,3810.2,3066.8,3491.8,3492.9,3449.6,3202.7,3203.8,3135.6,3171.6,3740.7,4022.7,3293.3,3491.1,3409.5,3467,3481.8,86633.5
11/08/2024,4166.6,4560.8,4354.9,,4053.2,3982.4,3958.9,3820.9,4662.6,3386.8,2709,2337.3,2177.5,2530.7,2734.2,2509.3,2459.9,2421.7,2603.1,4623.2,3942.3,4326.8,4320.2,4447.4,4131.4,85221.1
10/08/2024,5490.3,3564.6,3413.7,,3567.6,3143.6,3147.3,3512.6,3271.1,3377.9,2528.6,2527.8,2458.3,2667.2,2743.2,2646.3,2504,2432.7,2784.9,4828,5133.4,5105.4,5210.1,5184.4,5004.8,86247.8
09/08/2024,3958.7,5112.3,5191.3,,4272.2,4286.9,4323.5,4393.3,4777.1,4714.2,3863.7,3340.9,3160.3,3293.4,3542.8,3654.6,3720.4,3693.5,3360.4,3593,4041.1,3603.1,3392.1,3563.1,3626.7,94478.6
08/08/2024,4312.5,5177.6,5721.5,,5531,5192.1,5257.7,5456.1,5407.8,5302.6,4953,5095.7,4949.5,4840.1,4275.3,4254.8,4153.4,4960.4,5056.5,4905.2,4616.9,4966.6,5162.5,5154.9,5127.5,119831.2
07/08/2024,5033.2,4484.5,5508.5,,5568.9,5558.5,5453.3,5163.8,4885.3,5142.5,5089.7,4480.9,4695.7,4541.5,4840.2,4746.6,4066.4,3962.9,3770.5,4120.2,4497.3,4777.4,4947.3,4901.5,4500.6,114737.2
06/08/2024,5280.3,5247.4,5086.5,,5008.4,4486.4,4560.6,5229.4,5732.6,5231.6,5351.6,4880,4061.3,4030.8,4406,4485,4632.1,4450.2,4710.9,5039.2,3910.9,4200.9,4227,4314.5,3904.6,112468.2
