Datum,long_ct/kWh,short_ct/kWh
01.01.2024 00:00,-1.67,6.89
01.01.2024 00:15,0.3,6.89
01.01.2024 00:30,-1.51,6.89
01.01.2024 00:45,-1.79,6.89
01.01.2024 01:00,-0.65,6.8
01.01.2024 01:15,0.54,6.89
01.01.2024 01:30,0.53,6.89
01.01.2024 01:45,-0.64,6.8
01.01.2024 02:00,-1.36,8.56
01.01.2024 02:15,0.02,7.9
01.01.2024 02:30,-1.39,7.25
01.01.2024 02:45,-2.06,7.23
01.01.2024 03:00,0.06,7.25
01.01.2024 03:15,-2.47,7.25
01.01.2024 03:30,-2.14,7.25
01.01.2024 03:45,-4.12,7.25
01.01.2024 04:00,-3.52,7.25
01.01.2024 04:15,-1.54,6.49
01.01.2024 04:30,0.06,6.49
01.01.2024 04:45,-0.35,6.49
01.01.2024 05:00,-0.16,6.49
01.01.2024 05:15,-0.09,6.49
01.01.2024 05:30,0.06,6.49
01.01.2024 05:45,-0.71,6.49
01.01.2024 06:00,-0.18,6.49
01.01.2024 06:15,-0.21,6.49
01.01.2024 06:30,0.04,6.49
01.01.2024 06:45,-0.1,6.49
01.01.2024 07:00,-1.72,6.49
01.01.2024 07:15,-0.11,6.49
01.01.2024 07:30,-3.62,6.49
01.01.2024 07:45,-1.68,6.16
01.01.2024 08:00,-6.54,6.16
01.01.2024 08:15,-12.19,6.16
01.01.2024 08:30,-12.68,6.16
01.01.2024 08:45,-4.3,1.49
01.01.2024 09:00,-3.6,2.29
01.01.2024 09:15,-1.73,2.3
01.01.2024 09:30,-4.96,2.31
01.01.2024 09:45,-5.41,1.72
01.01.2024 10:00,-2.77,2.17
01.01.2024 10:15,-5.06,2.15
01.01.2024 10:30,-7.32,1.62
01.01.2024 10:45,-9.28,1.62
01.01.2024 11:00,-8.52,1.46
01.01.2024 11:15,-9.85,1.46
01.01.2024 11:30,-9.84,1.46
01.01.2024 11:45,-4.47,1.9
01.01.2024 12:00,-4.61,2.32
01.01.2024 12:15,-3.86,2.32
01.01.2024 12:30,-3.86,2.32
01.01.2024 12:45,-3.61,2.31
01.01.2024 13:00,-2.5,2.13
01.01.2024 13:15,-2.5,4.49
01.01.2024 13:30,-2.5,2.13
01.01.2024 13:45,-0.8,6.56
01.01.2024 14:00,-0.77,6.49
01.01.2024 14:15,-0.36,2.45
01.01.2024 14:30,-1.58,6.37
01.01.2024 14:45,-2.64,8.93
01.01.2024 15:00,-1.56,6.71
01.01.2024 15:15,-1.56,8.03
01.01.2024 15:30,-1.56,11.44
01.01.2024 15:45,-1.56,12.23
01.01.2024 16:00,0.15,7.7
01.01.2024 16:15,1.74,8.06
01.01.2024 16:30,1.76,7.61
01.01.2024 16:45,0.48,8.03
01.01.2024 17:00,1.29,7.94
01.01.2024 17:15,2.02,7.71
01.01.2024 17:30,2.06,8.15
01.01.2024 17:45,1.31,8.65
01.01.2024 18:00,0.07,9.46
01.01.2024 18:15,2.67,9.46
01.01.2024 18:30,2.41,9.69
01.01.2024 18:45,-3.81,9.69
01.01.2024 19:00,-6.21,8.8
01.01.2024 19:15,0.2,8.57
01.01.2024 19:30,-0.2,8.57
01.01.2024 19:45,2.08,7.86
01.01.2024 20:00,1.62,7.76
