,datetime,Hydro_Pumped_Storage,Hydro_Run_of_river_and_poundage,Hydro_Water_Reservoir,Nuclear,Solar,Wind_Onshore
62309,2024-01-01 00:00:00+01:00,44,218.0,255,3023,0.0,43.0
62310,2024-01-01 01:00:00+01:00,76,221.0,268,3022,0.0,38.0
62311,2024-01-01 02:00:00+01:00,56,218.0,278,3021,0.0,35.0
62312,2024-01-01 03:00:00+01:00,48,219.0,284,3020,0.0,44.0
62313,2024-01-01 04:00:00+01:00,66,218.0,301,3020,0.0,41.0
62314,2024-01-01 05:00:00+01:00,51,218.0,274,3019,0.0,43.0
62315,2024-01-01 06:00:00+01:00,42,218.0,264,3018,0.0,45.0
62316,2024-01-01 07:00:00+01:00,42,218.0,295,3018,0.0,44.0
62317,2024-01-01 08:00:00+01:00,53,217.0,267,3018,2.0,42.0
62318,2024-01-01 09:00:00+01:00,103,218.0,270,3015,108.0,39.0
62319,2024-01-01 10:00:00+01:00,94,218.0,234,3018,454.0,34.0
62320,2024-01-01 11:00:00+01:00,66,217.0,255,3016,489.0,30.0
62321,2024-01-01 12:00:00+01:00,49,216.0,248,3015,450.0,24.0
62322,2024-01-01 13:00:00+01:00,118,221.0,283,3014,438.0,21.0
62323,2024-01-01 14:00:00+01:00,143,217.0,257,3014,430.0,18.0
62324,2024-01-01 15:00:00+01:00,115,215.0,265,3014,321.0,17.0
62325,2024-01-01 16:00:00+01:00,276,217.0,338,3014,71.0,21.0
62326,2024-01-01 17:00:00+01:00,473,219.0,445,3014,0.0,26.0
62327,2024-01-01 18:00:00+01:00,762,218.0,453,3018,0.0,31.0
62328,2024-01-01 19:00:00+01:00,528,217.0,348,3019,0.0,34.0
62329,2024-01-01 20:00:00+01:00,405,220.0,405,3021,0.0,42.0
62330,2024-01-01 21:00:00+01:00,247,217.0,376,3022,0.0,39.0
62331,2024-01-01 22:00:00+01:00,144,219.0,389,3025,0.0,46.0
62332,2024-01-01 23:00:00+01:00,86,218.0,323,3034,0.0,51.0
62333,2024-01-02 00:00:00+01:00,121,210.0,249,3030,0.0,53.0
