,datetime,load_MW
0,2024-09-11 13:00:00+02:00,6856
1,2024-09-11 12:00:00+02:00,7224
2,2024-09-11 11:00:00+02:00,7859
3,2024-09-11 10:00:00+02:00,7093
4,2024-09-11 09:00:00+02:00,7429
5,2024-09-11 08:00:00+02:00,7443
6,2024-09-11 07:00:00+02:00,7630
7,2024-09-11 06:00:00+02:00,7063
8,2024-09-11 05:00:00+02:00,6436
9,2024-09-11 04:00:00+02:00,6314
10,2024-09-11 03:00:00+02:00,6538
11,2024-09-11 02:00:00+02:00,7234
12,2024-09-11 01:00:00+02:00,6590
13,2024-09-11 00:00:00+02:00,6272
14,2024-09-10 23:00:00+02:00,6783
15,2024-09-10 22:00:00+02:00,6775
16,2024-09-10 21:00:00+02:00,6936
17,2024-09-10 20:00:00+02:00,6853
18,2024-09-10 19:00:00+02:00,7340
19,2024-09-10 18:00:00+02:00,7657
20,2024-09-10 17:00:00+02:00,7120
21,2024-09-10 16:00:00+02:00,7108
22,2024-09-10 15:00:00+02:00,7134
23,2024-09-10 14:00:00+02:00,7045
24,2024-09-10 13:00:00+02:00,6966
25,2024-09-10 12:00:00+02:00,7438
26,2024-09-10 11:00:00+02:00,7389
27,2024-09-10 10:00:00+02:00,7323
28,2024-09-10 09:00:00+02:00,7411
29,2024-09-10 08:00:00+02:00,7047
30,2024-09-10 07:00:00+02:00,7586
31,2024-09-10 06:00:00+02:00,6518
32,2024-09-10 05:00:00+02:00,6340
33,2024-09-10 04:00:00+02:00,6767
34,2024-09-10 03:00:00+02:00,6850
35,2024-09-10 02:00:00+02:00,5168
36,2024-09-10 01:00:00+02:00,6798
37,2024-09-10 00:00:00+02:00,6493
38,2024-09-09 23:00:00+02:00,5682
39,2024-09-09 22:00:00+02:00,5817
40,2024-09-09 21:00:00+02:00,6166
41,2024-09-09 20:00:00+02:00,6344
42,2024-09-09 19:00:00+02:00,6527
43,2024-09-09 18:00:00+02:00,7328
44,2024-09-09 17:00:00+02:00,6747
45,2024-09-09 16:00:00+02:00,7130
46,2024-09-09 15:00:00+02:00,7109
47,2024-09-09 13:00:00+02:00,7245
48,2024-09-09 12:00:00+02:00,6902
49,2024-09-09 11:00:00+02:00,8911
50,2024-09-09 10:00:00+02:00,7021
51,2024-09-09 09:00:00+02:00,7183
52,2024-09-09 08:00:00+02:00,7195
53,2024-09-09 07:00:00+02:00,6874
54,2024-09-09 06:00:00+02:00,6716
55,2024-09-09 05:00:00+02:00,6222
56,2024-09-09 04:00:00+02:00,6768
57,2024-09-09 03:00:00+02:00,6730
58,2024-09-09 02:00:00+02:00,6473
59,2024-09-09 01:00:00+02:00,6104
60,2024-09-09 00:00:00+02:00,5977
61,2024-09-08 23:00:00+02:00,5304
62,2024-09-08 22:00:00+02:00,5219
63,2024-09-08 21:00:00+02:00,5514
64,2024-09-08 20:00:00+02:00,5685
65,2024-09-08 19:00:00+02:00,5760
66,2024-09-08 18:00:00+02:00,6390
67,2024-09-08 17:00:00+02:00,5766
68,2024-09-08 16:00:00+02:00,6515
69,2024-09-08 15:00:00+02:00,6588
70,2024-09-08 14:00:00+02:00,5724
71,2024-09-08 13:00:00+02:00,6340
72,2024-09-08 12:00:00+02:00,5819
73,2024-09-08 11:00:00+02:00,6290
74,2024-09-08 10:00:00+02:00,6762
75,2024-09-08 09:00:00+02:00,5505
76,2024-09-08 08:00:00+02:00,6169
77,2024-09-08 07:00:00+02:00,6060
78,2024-09-08 06:00:00+02:00,6084
79,2024-09-08 05:00:00+02:00,6633
80,2024-09-08 04:00:00+02:00,6319
81,2024-09-08 03:00:00+02:00,5737
82,2024-09-08 02:00:00+02:00,6815
83,2024-09-08 01:00:00+02:00,5652
84,2024-09-08 00:00:00+02:00,6161
85,2024-09-07 23:00:00+02:00,5004
86,2024-09-07 22:00:00+02:00,5131
87,2024-09-07 21:00:00+02:00,5343
88,2024-09-07 20:00:00+02:00,5386
89,2024-09-07 19:00:00+02:00,5247
90,2024-09-07 18:00:00+02:00,6673
91,2024-09-07 17:00:00+02:00,6756
92,2024-09-07 16:00:00+02:00,6625
93,2024-09-07 15:00:00+02:00,6794
94,2024-09-07 14:00:00+02:00,6835
95,2024-09-07 13:00:00+02:00,7039
96,2024-09-07 12:00:00+02:00,7406
97,2024-09-07 11:00:00+02:00,6069
98,2024-09-07 10:00:00+02:00,6831
99,2024-09-07 09:00:00+02:00,6757
100,2024-09-07 08:00:00+02:00,5120
101,2024-09-07 07:00:00+02:00,6422
102,2024-09-07 06:00:00+02:00,5433
103,2024-09-07 05:00:00+02:00,5830
104,2024-09-07 04:00:00+02:00,5597
105,2024-09-07 03:00:00+02:00,6034
106,2024-09-07 02:00:00+02:00,5594
107,2024-09-07 01:00:00+02:00,6225
108,2024-09-07 00:00:00+02:00,5973
109,2024-09-06 23:00:00+02:00,5329
110,2024-09-06 22:00:00+02:00,5566
