,datetime,eur_mwh
0,2024-01-01 01:00:00,25.97
1,2024-01-01 02:00:00,21.99
2,2024-01-01 03:00:00,14.32
3,2024-01-01 04:00:00,11.37
4,2024-01-01 05:00:00,11.35
5,2024-01-01 06:00:00,11.39
6,2024-01-01 07:00:00,11.34
7,2024-01-01 08:00:00,8.31
8,2024-01-01 09:00:00,8.51
9,2024-01-01 10:00:00,10.63
10,2024-01-01 11:00:00,9.75
11,2024-01-01 12:00:00,8.24
12,2024-01-01 13:00:00,10.71
13,2024-01-01 14:00:00,9.31
14,2024-01-01 15:00:00,11.51
15,2024-01-01 16:00:00,20.41
16,2024-01-01 17:00:00,29.09
17,2024-01-01 18:00:00,42.1
18,2024-01-01 19:00:00,48.83
19,2024-01-01 20:00:00,43.31
20,2024-01-01 21:00:00,42.59
21,2024-01-01 22:00:00,35.0
22,2024-01-01 23:00:00,34.01
23,2024-01-02 00:00:00,26.07
24,2024-01-02 01:00:00,22.24
25,2024-01-02 02:00:00,14.0
26,2024-01-02 03:00:00,11.32
27,2024-01-02 04:00:00,9.66
28,2024-01-02 05:00:00,10.01
29,2024-01-02 06:00:00,11.36
30,2024-01-02 07:00:00,19.89
31,2024-01-02 08:00:00,40.56
32,2024-01-02 09:00:00,48.36
33,2024-01-02 10:00:00,51.81
34,2024-01-02 11:00:00,51.89
35,2024-01-02 12:00:00,55.87
36,2024-01-02 13:00:00,58.49
37,2024-01-02 14:00:00,61.17
38,2024-01-02 15:00:00,64.98
39,2024-01-02 16:00:00,67.44
40,2024-01-02 17:00:00,72.51
41,2024-01-02 18:00:00,75.8
42,2024-01-02 19:00:00,67.84
43,2024-01-02 20:00:00,60.03
44,2024-01-02 21:00:00,48.26
45,2024-01-02 22:00:00,33.12
46,2024-01-02 23:00:00,28.8
47,2024-01-03 00:00:00,18.01
48,2024-01-03 01:00:00,19.45
49,2024-01-03 02:00:00,15.14
50,2024-01-03 03:00:00,11.35
51,2024-01-03 04:00:00,11.32
52,2024-01-03 05:00:00,11.3
53,2024-01-03 06:00:00,23.61
54,2024-01-03 07:00:00,51.91
55,2024-01-03 08:00:00,60.02
56,2024-01-03 09:00:00,62.07
57,2024-01-03 10:00:00,62.88
58,2024-01-03 11:00:00,58.6
59,2024-01-03 12:00:00,56.22
60,2024-01-03 13:00:00,60.03
61,2024-01-03 14:00:00,64.96
62,2024-01-03 15:00:00,71.69
63,2024-01-03 16:00:00,78.19
64,2024-01-03 17:00:00,75.74
65,2024-01-03 18:00:00,81.59
66,2024-01-03 19:00:00,85.96
67,2024-01-03 20:00:00,82.04
68,2024-01-03 21:00:00,82.71
69,2024-01-03 22:00:00,66.99
70,2024-01-03 23:00:00,65.74
71,2024-01-04 00:00:00,53.37
