,Datum,long_ct/kWh,short_ct/kWh
0,2024-01-01 00:00:00,-1.1675,6.89
1,2024-01-01 01:00:00,-0.05499999999999999,6.845
2,2024-01-01 02:00:00,-1.1975,7.735
3,2024-01-01 03:00:00,-2.1675,7.25
4,2024-01-01 04:00:00,-1.3375,6.68
5,2024-01-01 05:00:00,-0.22499999999999998,6.49
6,2024-01-01 06:00:00,-0.11249999999999999,6.49
7,2024-01-01 07:00:00,-1.7825,6.407500000000001
8,2024-01-01 08:00:00,-8.9275,4.9925
9,2024-01-01 09:00:00,-3.925,2.155
10,2024-01-01 10:00:00,-6.1075,1.8900000000000001
11,2024-01-01 11:00:00,-8.17,1.5699999999999998
12,2024-01-01 12:00:00,-3.985,2.3175
13,2024-01-01 13:00:00,-2.075,3.8274999999999997
14,2024-01-01 14:00:00,-1.3375,6.0600000000000005
15,2024-01-01 15:00:00,-1.56,9.6025
16,2024-01-01 16:00:00,1.0325,7.85
17,2024-01-01 17:00:00,1.67,8.1125
18,2024-01-01 18:00:00,0.33499999999999996,9.575
19,2024-01-01 19:00:00,-1.0325,8.450000000000001
20,2024-01-01 20:00:00,0.30000000000000004,8.605
21,2024-01-01 21:00:00,-4.255,9.06
22,2024-01-01 22:00:00,-4.525,8.91
23,2024-01-01 23:00:00,-8.852500000000001,8.38
24,2024-01-02 00:00:00,-2.7399999999999998,5.89
25,2024-01-02 01:00:00,-1.9125,4.43
26,2024-01-02 02:00:00,-1.135,4.43
27,2024-01-02 03:00:00,-2.17,4.02
28,2024-01-02 04:00:00,-1.435,2.6475
29,2024-01-02 05:00:00,-0.78,2.2575000000000003
30,2024-01-02 06:00:00,-2.995,3.555
31,2024-01-02 07:00:00,-2.1449999999999996,6.1125
32,2024-01-02 08:00:00,1.2,7.875
33,2024-01-02 09:00:00,3.4050000000000002,9.2525
34,2024-01-02 10:00:00,3.3125,9.092500000000001
35,2024-01-02 11:00:00,3.9425,9.78
36,2024-01-02 12:00:00,4.5325,11.5
37,2024-01-02 13:00:00,4.8725,13.1225
38,2024-01-02 14:00:00,4.54,13.57
39,2024-01-02 15:00:00,4.3825,13.57
40,2024-01-02 16:00:00,4.585,13.1075
41,2024-01-02 17:00:00,4.33,12.4175
42,2024-01-02 18:00:00,3.9000000000000004,12.02
43,2024-01-02 19:00:00,2.3,11.82
44,2024-01-02 20:00:00,1.63,11.620000000000001
45,2024-01-02 21:00:00,-0.36250000000000004,10.7625
46,2024-01-02 22:00:00,0.06,9.5625
47,2024-01-02 23:00:00,-5.8925,8.21
48,2024-01-03 00:00:00,-5.7524999999999995,7.43
49,2024-01-03 01:00:00,-2.53,2.63
50,2024-01-03 02:00:00,-3.0949999999999998,2.1100000000000003
51,2024-01-03 03:00:00,-3.7649999999999997,1.955
52,2024-01-03 04:00:00,-3.9925,2.005
53,2024-01-03 05:00:00,-4.025,4.3825
54,2024-01-03 06:00:00,-1.9400000000000002,8.51
55,2024-01-03 07:00:00,0.04999999999999993,9.9775
56,2024-01-03 08:00:00,3.3225,11.127500000000001
57,2024-01-03 09:00:00,2.6875,10.115
58,2024-01-03 10:00:00,-3.6799999999999997,8.6775
59,2024-01-03 11:00:00,1.2774999999999999,9.245000000000001
60,2024-01-03 12:00:00,3.3625000000000003,11.1525
61,2024-01-03 13:00:00,2.7175,11.282499999999999
62,2024-01-03 14:00:00,3.6025,13.2925
63,2024-01-03 15:00:00,4.755000000000001,14.41
64,2024-01-03 16:00:00,5.36,14.63
65,2024-01-03 17:00:00,5.83,12.985
66,2024-01-03 18:00:00,5.8975,11.615
67,2024-01-03 19:00:00,5.8425,11.875
68,2024-01-03 20:00:00,3.685,12.5925
69,2024-01-03 21:00:00,2.7424999999999997,12.09
70,2024-01-03 22:00:00,1.705,11.015
71,2024-01-03 23:00:00,-0.825,10.2075
72,2024-01-04 00:00:00,0.02499999999999991,12.055
73,2024-01-04 01:00:00,1.02,7.6675
74,2024-01-04 02:00:00,0.0050000000000000044,6.475
75,2024-01-04 03:00:00,-0.6825,5.5825000000000005
76,2024-01-04 04:00:00,-1.6099999999999999,6.505
77,2024-01-04 05:00:00,0.8575,10.945
78,2024-01-04 06:00:00,3.42,12.372499999999999
79,2024-01-04 07:00:00,-3.2300000000000004,11.32
80,2024-01-04 08:00:00,5.1975,13.715
81,2024-01-04 09:00:00,6.955,14.275
82,2024-01-04 10:00:00,6.655,15.485
83,2024-01-04 11:00:00,5.015000000000001,12.844999999999999
84,2024-01-04 12:00:00,0.30500000000000016,11.58
85,2024-01-04 13:00:00,4.1025,13.2575
86,2024-01-04 14:00:00,6.4975000000000005,12.8025
87,2024-01-04 15:00:00,6.4475,15.0625
88,2024-01-04 16:00:00,7.175,15.0975
89,2024-01-04 17:00:00,8.7775,18.04
90,2024-01-04 18:00:00,7.989999999999999,15.8
91,2024-01-04 19:00:00,7.055,16.549999999999997
92,2024-01-04 20:00:00,6.5475,16.0825
93,2024-01-04 21:00:00,5.79,16.314999999999998
94,2024-01-04 22:00:00,6.07,17.0825
95,2024-01-04 23:00:00,6.0575,15.26
96,2024-01-05 00:00:00,5.640000000000001,16.78
97,2024-01-05 01:00:00,5.405,13.93
98,2024-01-05 02:00:00,5.5,13.8475
99,2024-01-05 03:00:00,5.2524999999999995,14.2575
100,2024-01-05 04:00:00,5.2075000000000005,12.855
101,2024-01-05 05:00:00,3.0475,13.5475
102,2024-01-05 06:00:00,4.205,12.9
103,2024-01-05 07:00:00,6.4175,13.4175
104,2024-01-05 08:00:00,7.2325,13.135
105,2024-01-05 09:00:00,7.6225000000000005,14.3375
106,2024-01-05 10:00:00,7.625,15.782499999999999
107,2024-01-05 11:00:00,7.342499999999999,15.455
108,2024-01-05 12:00:00,6.455,16.447499999999998
109,2024-01-05 13:00:00,6.7875,13.040000000000001
110,2024-01-05 14:00:00,6.9975,14.2725
111,2024-01-05 15:00:00,7.1775,13.4625
112,2024-01-05 16:00:00,7.8225,15.239999999999998
113,2024-01-05 17:00:00,7.485,14.7175
114,2024-01-05 18:00:00,7.5675,13.977500000000001
115,2024-01-05 19:00:00,6.9475,14.085
116,2024-01-05 20:00:00,6.2,13.105
117,2024-01-05 21:00:00,3.3175,13.06
118,2024-01-05 22:00:00,3.6775,12.280000000000001
119,2024-01-05 23:00:00,2.83,12.1175
120,2024-01-06 00:00:00,2.95,13.74
121,2024-01-06 01:00:00,3.5149999999999997,12.4975
122,2024-01-06 02:00:00,3.975,13.1625
123,2024-01-06 03:00:00,3.8425000000000002,12.465
124,2024-01-06 04:00:00,4.0675,12.73
125,2024-01-06 05:00:00,4.445,13.120000000000001
126,2024-01-06 06:00:00,4.5075,13.165000000000001
127,2024-01-06 07:00:00,4.695,13.34
128,2024-01-06 08:00:00,4.805,14.120000000000001
129,2024-01-06 09:00:00,5.9075,14.975000000000001
130,2024-01-06 10:00:00,6.2725,15.809999999999999
131,2024-01-06 11:00:00,6.005,16.28
132,2024-01-06 12:00:00,7.04,17.68
133,2024-01-06 13:00:00,6.2625,16.1
134,2024-01-06 14:00:00,6.0875,15.790000000000001
135,2024-01-06 15:00:00,7.345,17.92
136,2024-01-06 16:00:00,7.5175,17.19
137,2024-01-06 17:00:00,6.9174999999999995,17.3925
138,2024-01-06 18:00:00,6.5525,15.8425
139,2024-01-06 19:00:00,6.0424999999999995,15.9125
140,2024-01-06 20:00:00,4.1875,16.9275
141,2024-01-06 21:00:00,4.435,15.215
142,2024-01-06 22:00:00,4.9725,15.56
143,2024-01-06 23:00:00,4.6825,14.467500000000001
144,2024-01-07 00:00:00,2.065,13.455
145,2024-01-07 01:00:00,2.3125,12.675
146,2024-01-07 02:00:00,0.665,11.335
147,2024-01-07 03:00:00,3.1325,12.745
148,2024-01-07 04:00:00,4.4275,12.3925
149,2024-01-07 05:00:00,5.225,12.7225
150,2024-01-07 06:00:00,4.18,13.0775
151,2024-01-07 07:00:00,5.4,13.5875
152,2024-01-07 08:00:00,3.9924999999999997,13.817499999999999
153,2024-01-07 09:00:00,4.4625,13.3575
154,2024-01-07 10:00:00,5.96,14.1725
155,2024-01-07 11:00:00,6.265000000000001,15.3
156,2024-01-07 12:00:00,5.7875,15.3475
157,2024-01-07 13:00:00,4.5275,13.665
158,2024-01-07 14:00:00,4.1925,14.592500000000001
159,2024-01-07 15:00:00,7.115,18.127499999999998
160,2024-01-07 16:00:00,7.1225000000000005,17.82
161,2024-01-07 17:00:00,7.36,17.905
162,2024-01-07 18:00:00,6.825,15.3625
163,2024-01-07 19:00:00,6.305,13.6425
164,2024-01-07 20:00:00,3.875,14.035
165,2024-01-07 21:00:00,2.925,14.245000000000001
166,2024-01-07 22:00:00,1.94,13.6125
167,2024-01-07 23:00:00,1.9100000000000001,13.085
168,2024-01-08 00:00:00,1.2325,11.64
169,2024-01-08 01:00:00,2.45,13.9525
170,2024-01-08 02:00:00,6.335,16.3
171,2024-01-08 03:00:00,7.21,16.6375
172,2024-01-08 04:00:00,7.0275,16.5275
173,2024-01-08 05:00:00,5.91,16.76
174,2024-01-08 06:00:00,6.4325,18.7525
175,2024-01-08 07:00:00,6.2475,19.5225
176,2024-01-08 08:00:00,7.5075,16.8075
177,2024-01-08 09:00:00,7.77,16.8975
178,2024-01-08 10:00:00,7.71,16.8375
179,2024-01-08 11:00:00,7.33,16.1675
180,2024-01-08 12:00:00,7.205,16.5375
181,2024-01-08 13:00:00,8.3225,21.53
