Station/Location;Date;tre200d0;tre200dv;rre150d0;sre000d0;gre000d0
TAE;20240713;16.1;-2.3;0.0;27;122
TAE;20240714;18.5;0.1;0.0;529;301
TAE;20240715;21.2;2.8;19.5;364;250
TAE;20240716;20.3;1.9;0.0;368;249
TAE;20240717;19.3;0.8;0.0;326;246
TAE;20240718;20.0;1.5;0.0;833;324
TAE;20240719;22.3;3.8;0.0;637;313
TAE;20240720;22.6;4.0;0.0;788;305
TAE;20240721;21.8;3.2;0.1;436;263
TAE;20240722;20.1;1.5;10.6;35;155
TAE;20240723;21.1;2.5;0.0;371;259
TAE;20240724;19.6;0.9;0.0;324;241
TAE;20240725;19.3;0.6;0.0;741;317
TAE;20240726;20.7;2.0;0.0;644;290
TAE;20240727;23.0;4.3;11.6;497;284
TAE;20240728;19.0;0.3;9.8;151;125
TAE;20240729;19.9;1.1;0.0;778;314
TAE;20240730;22.6;3.8;0.0;774;302
TAE;20240731;22.6;3.8;13.8;516;246
TAE;20240801;20.6;1.8;20.0;261;156
TAE;20240802;22.1;3.3;5.7;637;309
TAE;20240803;20.6;1.8;0.0;437;235
TAE;20240804;20.4;1.6;0.0;334;234
TAE;20240805;20.6;1.8;0.0;499;268
TAE;20240806;21.4;2.6;0.0;750;297
TAE;20240807;19.6;0.8;5.5;312;154
TAE;20240808;19.9;1.2;0.0;307;191
TAE;20240809;21.4;2.7;0.0;763;285
TAE;20240810;22.3;3.7;0.0;755;290
TAE;20240811;22.9;4.3;0.0;760;290
TAE;20240812;24.6;6.1;2.4;706;271
TAE;20240813;23.5;5.0;2.9;684;284
TAE;20240814;23.4;5.0;0.0;602;263
TAE;20240815;21.7;3.4;0.0;663;281
TAE;20240816;23.6;5.3;0.9;714;273
TAE;20240817;20.5;2.3;6.3;0;98
TAE;20240818;17.3;-0.8;14.6;0;50
TAE;20240819;17.0;-1.0;0.0;275;207
TAE;20240820;18.7;0.8;0.0;306;173
TAE;20240821;17.4;-0.4;0.0;392;210
TAE;20240822;16.6;-1.0;0.0;717;264
TAE;20240823;19.8;2.3;0.0;715;273
TAE;20240824;22.4;5.0;17.9;716;264
TAE;20240825;15.8;-1.4;0.8;0;73
TAE;20240826;16.4;-0.7;0.0;0;128
TAE;20240827;16.7;-0.3;0.0;262;173
TAE;20240828;19.7;2.9;0.0;713;252
TAE;20240829;21.5;4.9;0.0;717;252
TAE;20240830;21.5;5.0;0.0;676;241
TAE;20240831;21.9;5.6;0.0;650;238
TAE;20240901;21.6;5.7;3.6;642;237
TAE;20240902;19.8;4.1;0.0;325;208
TAE;20240903;20.7;5.1;0.0;269;187
TAE;20240904;20.1;4.7;0.0;143;145
TAE;20240905;18.7;3.5;0.3;42;107
TAE;20240906;17.5;2.5;0.0;539;212
TAE;20240907;18.8;3.9;0.0;630;229
TAE;20240908;17.2;2.5;13.4;8;56
