Station/Location;Date;tre200b0;tpr200dx;tpr200dn;rre150b0;spr100h0
;;133;133;133;133;133
TAE;2024091100;10.9;15.6;8.6;0.0;0
TAE;2024091101;10.7;-;-;0.0;0
TAE;2024091102;10.5;-;-;0.0;0
TAE;2024091103;10.6;-;-;0.0;0
TAE;2024091104;10.9;-;-;0.0;0
TAE;2024091105;11.6;-;-;0.0;0
TAE;2024091106;12.5;-;-;0.0;23
TAE;2024091107;13.5;-;-;0.0;26
TAE;2024091108;14.5;-;-;0.0;25
TAE;2024091109;15.1;-;-;0.0;17
TAE;2024091110;15.5;-;-;0.0;12
TAE;2024091111;15.6;-;-;0.0;8
TAE;2024091112;15.5;-;-;0.3;4
TAE;2024091113;15.1;-;-;0.7;2
TAE;2024091114;14.7;-;-;1.3;2
TAE;2024091115;14.1;-;-;1.7;2
TAE;2024091116;13.4;-;-;2.1;2
TAE;2024091117;12.5;-;-;1.9;1
TAE;2024091118;11.7;-;-;2.4;0
TAE;2024091119;10.8;-;-;1.6;0
TAE;2024091120;10.0;-;-;1.4;0
TAE;2024091121;9.2;-;-;1.3;0
TAE;2024091122;8.6;-;-;1.3;0
TAE;2024091123;8.1;-;-;0.9;0
TAE;2024091200;7.6;11.7;6.8;0.6;0
TAE;2024091201;7.4;-;-;0.6;0
TAE;2024091202;7.2;-;-;0.2;0
TAE;2024091203;7.3;-;-;0.0;0
TAE;2024091204;7.5;-;-;0.0;0
TAE;2024091205;7.9;-;-;0.0;0
TAE;2024091206;8.5;-;-;0.0;1
TAE;2024091207;9.1;-;-;0.0;3
TAE;2024091208;9.9;-;-;0.0;5
TAE;2024091209;10.5;-;-;0.0;5
TAE;2024091210;11.1;-;-;0.0;4
TAE;2024091211;11.5;-;-;0.0;4
TAE;2024091212;11.7;-;-;0.0;5
TAE;2024091213;11.7;-;-;0.0;5
TAE;2024091214;11.5;-;-;0.0;8
TAE;2024091215;11.1;-;-;0.0;11
TAE;2024091216;10.6;-;-;0.0;11
TAE;2024091217;9.9;-;-;0.0;9
TAE;2024091218;9.3;-;-;0.0;4
TAE;2024091219;8.6;-;-;0.0;0
TAE;2024091220;7.9;-;-;0.0;0
TAE;2024091221;7.3;-;-;0.0;0
TAE;2024091222;6.8;-;-;0.0;0
TAE;2024091223;6.2;-;-;0.0;0
TAE;2024091300;5.8;10.3;5.3;0.0;0
TAE;2024091301;5.5;-;-;0.0;0
TAE;2024091302;5.3;-;-;0.0;0
TAE;2024091303;5.3;-;-;0.0;0
TAE;2024091304;5.4;-;-;0.0;0
TAE;2024091305;5.8;-;-;0.0;0
TAE;2024091306;6.4;-;-;0.0;4
TAE;2024091307;7.0;-;-;0.0;5
TAE;2024091308;7.8;-;-;0.0;4
TAE;2024091309;8.5;-;-;0.0;3
TAE;2024091310;9.1;-;-;0.0;3
TAE;2024091311;9.6;-;-;0.0;3
TAE;2024091312;10.0;-;-;0.1;3
TAE;2024091313;10.2;-;-;0.0;4
TAE;2024091314;10.3;-;-;0.0;5
TAE;2024091315;10.2;-;-;0.0;7
TAE;2024091316;9.9;-;-;0.0;6
TAE;2024091317;9.6;-;-;0.0;3
TAE;2024091318;9.2;-;-;0.0;3
TAE;2024091319;8.7;-;-;0.0;0
TAE;2024091320;8.3;-;-;0.0;0
TAE;2024091321;7.9;-;-;0.0;0
TAE;2024091322;7.6;-;-;0.0;0
TAE;2024091323;7.3;-;-;0.0;0
TAE;2024091400;7.0;11.3;6.4;0.0;0
TAE;2024091401;6.7;-;-;0.0;0
TAE;2024091402;6.5;-;-;0.0;0
TAE;2024091403;6.4;-;-;0.0;0
TAE;2024091404;6.5;-;-;0.0;0
TAE;2024091405;6.8;-;-;0.0;0
TAE;2024091406;7.3;-;-;0.0;12
TAE;2024091407;8.0;-;-;0.0;12
TAE;2024091408;8.7;-;-;0.0;12
TAE;2024091409;9.5;-;-;0.0;10
TAE;2024091410;10.1;-;-;0.0;8
TAE;2024091411;10.7;-;-;0.0;7
TAE;2024091412;11.1;-;-;0.0;6
TAE;2024091413;11.3;-;-;0.0;7
TAE;2024091414;11.3;-;-;0.0;8
TAE;2024091415;11.1;-;-;0.0;13
TAE;2024091416;10.7;-;-;0.0;14
TAE;2024091417;10.2;-;-;0.0;13
TAE;2024091418;9.6;-;-;0.0;2
TAE;2024091419;8.9;-;-;0.0;0
